"7420-01-484-4565","Office Supplies & Paper Special Order","Portfolio with Calculator","Palm-sized, leather-look cover holds a dual-powered eight-digit calculator on inside cover. Features large numerical display with adjustable angle and rubber keys. Portfolio also comes with a3-3/8 x 5-1/2"" writing pad and rubberized-grip retractable pen.",11.43,"EA","H"
"7420-01-484-4580","Office Supplies & Paper Special Order","Desktop Calculator","10-digit calculator. Dual-powered portable desktop calculator uses both solar and battery power for display. Big number angled display is easy to read with ergonomically designed body and keys. Three memory keys.",12.97,"EA","H"
"7420-01-617-1743","Office Supplies & Paper Special Order","Desktop Talking Calculator","This desktop 12 digit talking calculator features an angle display for ease of viewing, volume control knob with 3 adjustable settings and ear buds. Runs on two AA batteries (included). Section 508 compliant.",20.8,"EA","H"
"7460-01-188-7105","Office Supplies & Paper Special Order","Index File","Smoke-dust cover. Designed for standard and business cards. Includes a set of A to Z index cards. Case made of high-impact polystyrene. Snap-in or snap-out cards, 500 cards capacity (included), 24 dividers. Uses 2-1/4 x 4"" cards.",26.47,"EA","H"
"7490-01-390-6012","Office Supplies & Paper Special Order","Paper Shredder (Level 5)","Weight: 198 lbs. This Level 5 Cross Cut shredder for large office use, features a 16 in opening and can process 11-13 sheets per pass.  An all steel cutting head and chain drive in an enclosed cabinet. On castors for easy movement and includes an internal",2080.19,"EA","H"
"7490-01-390-6147","Office Supplies & Paper Special Order","Paper/CD Shredder","Machine strip cuts to 0.15"" and will also cut disks, CD's/ DVS's, paper clips, and credit cards. Cuts up to 27 sheets of paper per pass. Features a 10"" wide top feed and a 22 gallon waste capacity. Recommended for offices with three to four users. Hardene",857.35,"EA","H"
"7490-01-390-6162","Office Supplies & Paper Special Order","Personal Size Paper Shredder","Machine strip-cuts to 1/7"" up to 18 sheets per pass. Features a wide 9"" throat entry and a six-gallon waste capacity. Safety features include automatic start/stop; automatic shut off when a jam occurs or when waste basket is open or ajar.  Recommended for",915.64,"EA","H"
"7490-01-390-6163","Office Supplies & Paper Special Order","Personal Size Paper Shredder","Machine cross cuts 3/16"" x 1-1/8"" up to 19 sheets per pass. This machine can be used to shred plastic cards. Features a wide 9-1/2"" top feed and a 8.5 gallon waste capacity. Safety features include auto start/stop and will automatically shut off when a ja",474.94,"EA","H"
"7490-01-395-3263","Office Supplies & Paper Special Order","Shredder (High Security)","250 lbs. This top-feed, high security Level 6, crosscut shredder meets the requirements of NSA/CSS specification 02-01 for crosscut paper shredders. Heavy duty/High volume features hardened steel cutting rollers, a thermally protected motor and factory in",5933.02,"EA","H"
"7490-01-395-3355","Office Supplies & Paper Special Order","Paper Shredder (High Security)","Level 6 High Security cross cut paper shredder. Features a wide 10"" top feed and a 21-gallon waste container capacity and can cut up to five sheets of paper per pass. Recommended for offices with one to three users. Meets NSA/CSS Specification 02-01. Ship",1414.49,"EA","H"
"7490-01-450-4973","Office Supplies & Paper Special Order","Personal Size Paper Shredder","Machine strip-cuts to 1/4"" up to 12 sheets per pass. Features a wide 8-3/4"" top feed and a 6-1/2 gallon waste container capacity. Recommended for offices with one user (personal shredder). Shipping weight 14-lbs. Hardened steel rollers ensure a lasting, p",202.49,"EA","H"
"7490-01-450-4974","Office Supplies & Paper Special Order","Personal Size Paper Shredder","Machine cross cuts 1/8"" x 1-1/8"" up to seven sheets per pass. Features a wide 9"" top feed entry and a 6-gallon waste container capacity. Recommended for offices with one to two users. Shipping weight 30 lbs. Hardened steel rollers ensure a lasting, precis",265.04,"EA","H"
"7490-01-459-8264","Office Supplies & Paper Special Order","Shredder Oil","Shredder oil helps lubricate the shredder, extending its life and allowing the shredder to run smoothly and quietly. Comes in squeeze type bottle with extension nozzle.",4.24,"BT","H"
"7490-01-461-6119","Office Supplies & Paper Special Order","High Security Shredder (Level 6/P-7)","This heavy duty, high volume, high security cross-cut shredder meets NSA/CSS Specification 02-01. Features an automatic Start/Stop and automatic oiler. With a 15.5” top feed opening and a 60 gallon waste container with full bag auto shut off.  Shred size:",6211.23,"EA","H"
"7490-01-461-6124","Office Supplies & Paper Special Order","Media Disinintegrator","115 Volts, 60HZ & 20 Amps. This total media disintegrator is designed with the flexibility to destroy a variety of items: paper, CD’s, DVD’s, key access cards, credit cards, ID badges, flash drives, microfilm, audio cassettes and floppy disks. Designed fo",10774.45,"EA","H"
"7490-01-475-2734","Office Supplies & Paper Special Order","Paper Shredder","This machine cross cuts 5/32”x 1 9/16” up to 16 sheets per pass and can shred paper clips and staples. This model features a 10” feed and 25 gallon capacity. Shipping weight is 120 lbs. Hardened steel cutting rollers will ensure a lasting cut and stand up",883.37,"EA","H"
"7490-01-481-0403","Office Supplies & Paper Special Order","Shredder Oil","Shredder lubricant helps to ensure maximum cross cut shredder performance.  Keeps shredder running at peak performance by conditioning the cutters and extending the life of the machine.",65.46,"BX","H"
"7490-01-490-7262","Office Supplies & Paper Special Order","Brother P-Touch Label Maker","Min. Order Qty: 1 EA; Max Order Qty: 300 EA per month. Creates professional, laminated, adhesive-backed labels that can be useful for virtually any office and commercial application. Full color display that shows the label appearance before printing. Can ",134.8,"EA","H"
"7490-01-498-9096","Office Supplies & Paper Special Order","Shredder (High Security)","High security level 6/P7, 1.0 mm x 5.0 mm cross cut. Meets NSA/CSS specification 02-01. Can cut up to 8 sheets of paper per pass. Features a wide 10.0"" top feed and a 25 gallon secured waste container.  Shipping weight 140-lbs. Hardened steel rollers ensu",1834.93,"EA","H"
"7490-01-501-8543","Office Supplies & Paper Special Order","Shredder (High Security)","High security level 6,  0.8 mm x 5.0 mm cross cut. Meets NSA/CSS specification 02-01. Can cut up to 7 sheets of paper per pass. Features a wide 9.0"" top feed and a 8 gallon secured waste container.  Shipping weight 60-lbs. Hardened steel rollers ensure a ",1217.84,"EA","H"
"7490-01-503-9122","Office Supplies & Paper Special Order","Paper Shredder (High Security)","This Level 6 High Security cross cut shredder . Features hardened steel cutting rollers, a thermally protected continuous motor and an automatic oiler. A 12.25” top feed opening will shred up to 13 sheets per pass. With an average shred size of 0.8mm. X 4",2405.8,"EA","H"
"7490-01-504-5602","Office Supplies & Paper Special Order","Paper Shredder","For medium to heavy duty use, this continuous feed features a 40 gallon bin capacity, automatic oiler (1/2 gall capacity) with a 16 in opening that can handle up to 33 sheets per pass. Model features casters for ease of movement wherever needed. Weight 27",2821.85,"EA","H"
"7490-01-504-5605","Office Supplies & Paper Special Order","Paper Shredder (High Security)","High Security cross cut paper shredder meets Level 6 (EVALUATED AND LISTED BY NSA AND MEETS THE REQUIREMENTS OF NSA/CSS SPECIFICATION 02-01 FOR HIGH SECURITY CROSSCUT PAPER SHREDDERS).For heavy duty high volume work areas; features an Auto Start/Stop, bag",3162.07,"EA","H"
"7490-01-504-5606","Office Supplies & Paper Special Order","Media Disintergrator","115 Volts, 60HZ & 30 Amps. This total media disintegrator is designed with the flexibility to destroy a variety of items: paper, CD’s, DVD’s, key access cards, credit cards, ID badges, flash drives, microfilm, audio cassettes and floppy disks. Designed fo",13875.27,"EA","H"
"7490-01-509-1322","Office Supplies & Paper Special Order","Paper Shredder  (High Security)","Level 6 High Security cross cut paper shredder (Shred Size: 1.0 mm x 5.0 mm). Features a wide 15.5"" top feed and a 38-gallon waste container capacity and can process up to 14 sheets of paper per pass. Meets NSA/CSS Specification 02-01. Works on a 115 Volt",2489,"EA","H"
"7490-01-598-3987","Office Supplies & Paper Special Order","Paper/CD Shredder","Replaces NSN: 7490-01-483-8985 Medium duty strip cut shredder, 1/4"" shred size, can process up to 30 sheets per pass. Features a wide 10"" top feed with a 20- gallon waste capacity.  Shipping weight 70-lbs. Hardened steel cutting rollers ensure a lasting p",915.64,"EA","H"
"7490-01-598-3988","Office Supplies & Paper Special Order","Paper Shredder","Replaces NSN: 7490-01-483-8991. Medium duty machine takes up to 18 sheets per pass.  Features a 10” wide top feed with a 20 gallon waste capacity.  Machine can process up to 14,000 sheets per day.  Shipping weight 80 lbs. Paper Shedder machine cross-cuts ",1034.99,"EA","H"
"7490-01-598-3989","Office Supplies & Paper Special Order","Paper Shredder","Replaces NSN: 7490-01-567-4339 Light duty machine takes up to 14 sheets per pass.  Features a 9-1/2” wide top feed with a  8.7 gallon waste capacity.    Shipping weight 40 lbs. Paper Shedder machine shred-cuts 0.125 x 1.125” pieces (Security Level 3) with",448.49,"EA","H"
"7490-01-598-3990","Office Supplies & Paper Special Order","Paper/CD Shredder","Replaces NSN: 7490-01-567-4337. Medium duty Level 3 shredder cross-cuts 0.125 x  1.5"" pieces  and up to 27 sheets per pass. Features a 12"" wide top feed and a 28-gallon waste capacity. This machine can process up to 20,000 sheets per day. Shipping weight ",1431.41,"EA","H"
"7490-01-598-3991","Office Supplies & Paper Special Order","Paper Shredder","Replaces NSN: 7490-01-483-8984. Medium duty machine takes up to 12 sheets per pass.  Features a 9-1/2” wide top feed with a 13 gallon waste capacity.  Machine can process up to 10,000 sheets per day.  Shipping weight 44 lbs. Paper Shedder machine cross-cu",632.59,"EA","H"
"7490-01-598-3992","Office Supplies & Paper Special Order","Paper/CD Shredder","Replaces NSN: 7490-01-483-8990. Medium duty strip cut shredder, 1/4"" shred size, can process up to 24 sheets per pass. Features a 9.5” wide top feed with a 13 gallon waste container. Shipping weight 55-lbs. Hardened steel cutting rollers ensure a lasting ",493.05,"EA","H"
"7490-01-598-3993","Office Supplies & Paper Special Order","Paper/CD Shredder","Replaces NSN: 7490-01-567-4338. Medium duty Level 2, strip cuts 0.125"" pieces and up to 40 sheets per pass. Features a wide 12"" top feed with a 28- gallon waste capacity. This machine can process 20,000 sheets a day. Shipping weight 105-lbs. Hardened stee",1264.99,"EA","H"
"7490-01-631-3693","Office Supplies & Paper Special Order","Paper Shredder High Security (Level 6)","Weight: 63 lbs. Level 6 high security cross-cut paper shredder destroys sensitive paper documents  Shredder features a wide 10.5"" top feed and shreds up to 7 sheets of paper per pass.  Includes a 15-gallon capacity waste container.  Hardened steel cutters",1496.58,"EA","H"
"7490-01-631-3694","Office Supplies & Paper Special Order","Paper Shredder","Personal size (Level 3) cross-cut paper shredder, shreds to a size of 5/32 x 1 inch.  Features a wide 8-3/4"" top feed entry and shreds 10 sheets of paper per pass.  Shreds paper,CDs,DVDs, and credit cards. Includes a 5.5 gallon capacity shred container.  ",151.55,"EA","H"
"7510-00-045-9505","Office Supplies & Paper Special Order","Card Protector","Transparent plastic card protector has a fold-over top and open sides and is flame resistant.",10.12,"PG","H"
"7510-00-053-9662","Office Supplies & Paper Special Order","Hanging File Folder Tab","1/3 cut. Plastic tab for use with hanging file folders includes an aperture for inserting a legend.",3.2,"PG","H"
"7510-00-073-6094","Office Supplies & Paper Special Order","Packaging Tape","Tape has a plastic film backing and is useful for sealing containers and attaching labels. Allows reading of labels when applied over them. Has a 3"" core. 12-month maximum shelf life (extendable).",4.35,"RO","H"
"7510-00-073-6096","Office Supplies & Paper Special Order","Packaging Tape","Tape has a plastic film backing and is useful for sealing containers and attaching labels. Allows reading of labels when applied over them. Has a 3"" core. 12-month maximum shelf life (extendable).",6.56,"RO","H"
"7510-00-074-4952","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",12.79,"RO","H"
"7510-00-074-4954","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",19.34,"RO","H"
"7510-00-074-4960","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",6.8,"RO","H"
"7510-00-074-4961","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",12.79,"RO","H"
"7510-00-074-4962","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",16.96,"RO","H"
"7510-00-074-4963","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",19.34,"RO","H"
"7510-00-074-4964","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",28.21,"RO","H"
"7510-00-074-4969","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",13.87,"RO","H"
"7510-00-074-4978","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",13.56,"RO","H"
"7510-00-074-4996","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",20.86,"RO","H"
"7510-00-074-5029","Office Supplies & Paper Special Order","Packaging Tape","This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extendable).",26.71,"RO","H"
"7510-00-074-5100","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",16.11,"RO","H"
"7510-00-074-5122","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",5.28,"RO","H"
"7510-00-074-5124","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",12.79,"RO","H"
"7510-00-074-5157","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",16.11,"RO","H"
"7510-00-074-5160","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",19.34,"RO","H"
"7510-00-074-5174","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",24.81,"RO","H"
"7510-00-074-5178","Office Supplies & Paper Special Order","Waterproof Tape","Meets ASTM D 5486/D 5486M-96  specifications This ""original 100 MPH"" high-strength waterproof tape can withstand temperatures between -65 to 160° F. Features a woven cloth backing for exterior sealing. 3"" core diameter. 12-month maximum shelf life (extend",43.36,"RO","H"
"7510-00-079-7905","Office Supplies & Paper Special Order","Packaging Tape","(NFES #0396) This tape is excellent for sealing containers in situations that require high strength and resistance to water, sunlight and other adverse elements. Includes a plastic film backing and can be used in temperatures ranging from -65 to 160° F. H",5.44,"RO","H"
"7510-00-079-7906","Office Supplies & Paper Special Order","Packaging Tape","(NFES #0395) This tape is excellent for sealing containers in situations that require high strength and resistance to water, sunlight and other adverse elements. Includes a plastic film backing and can be used in temperatures ranging from -65 to 160° F. H",3.05,"RO","H"
"7510-00-079-7907","Office Supplies & Paper Special Order","Packaging Tape","(NFES #0396) This tape is excellent for sealing containers in situations that require high strength and resistance to water, sunlight and other adverse elements. Includes a plastic film backing and can be used in temperatures ranging from -65 to 160° F. H",6.88,"RO","H"
"7510-00-082-2520","Office Supplies & Paper Special Order","Tape with Dispenser","Matte finish. Features a 1"" core. Dispenser included. Tape is virtually invisible when applied. Ideal for mending documents, maps, charts and blueprints. 12-month maximum shelf life (extendable).",13.67,"DZ","H"
"7510-00-082-2521","Office Supplies & Paper Special Order","Tape with Dispenser","Matte finish. Features a 1"" core. Dispenser included. Tape is virtually invisible when applied. Ideal for mending documents, maps, charts and blueprints. 12-month maximum shelf life (extendable).",12.77,"DZ","H"
"7510-00-086-7550","Office Supplies & Paper Special Order","Flight Record Book","Closed-back, side-opening binder holds 11 x 8-1/2"" sheets with seven ring fasteners. Binder's frosted, flexible vinyl cover is labeled ""A/C Flight Report and Maintenance Record"".",21.62,"EA","H"
"7510-00-115-3250","Office Supplies & Paper Special Order","Certificate Binder","Blue with silver U.S. Air Force seal embossed on front cover. Holds two 8-1/2 x 11"" certificates. Vinyl holder proudly displays two award certificates, one each inside the front and back covers. Includes transparent protector sheets.",3.91,"EA","H"
"7510-00-132-5109","Office Supplies & Paper Special Order","Double-Sided Tape","Miscellaneous-use tape has a high-strength, neoprene rubber foam backing with a silicone release paper liner. Used for mounting indoor signs and name plates to irregular surfaces. Double-coated and is high temperature resistant. 24-month maximum shelf lif",43.83,"RO","H"
"7510-00-134-8179","Office Supplies & Paper Special Order","Certificate Binder","Dark blue with U.S. Air Force seal embossed on front cover. Holds one 8-1/2 x 11"" and one 11 x 14"" certificates. Vinyl holder proudly displays two award certificates, one each inside the front and back covers. Includes transparent protector sheets.",11.29,"EA","H"
"7510-00-145-0296","Office Supplies & Paper Special Order","Writing Portfolio","Holds a 8-1/2 x 11"" letter-size pad (not included). Side-opening notebook includes space for a writing pad on one side; the other side features a pocket for loose papers. The stiff vinyl plastic cover boasts a simulated leather-grain finish.",3.91,"EA","H"
"7510-00-155-5174","Office Supplies & Paper Special Order","Inspection Card Holder","Vinyl card holder has a clear front with a thumb notch for easy access. Also includes a 1/4"" reinforced hole for hanging.",24.15,"PG","H"
"7510-00-157-8618","Office Supplies & Paper Special Order","Certificate Binder","The inside back cover includes narrow, diagonal ribbons 3/4"" from each corner. The inside front cover features an  attractive red, white and blue ribbon, which is set diagonally across one corner. This lightweight, imitation leather binder (with levant gr",18.52,"EA","H"
"7510-00-159-4450","Office Supplies & Paper Special Order","Strapping Tape","Medium-tensile-strength tape (300 pounds per inch width) is transparent. Fiberglass filament-reinforced tape is for closing full overlap or full telescope boxes, as well as general bundling and packaging. Also used for carton reinforcing, unitizing and ho",5.37,"RO","H"
"7510-00-161-4237","Office Supplies & Paper Special Order","Stamp Pad Ink","Applicator may be brush or roll-on. Quick-drying ink makes clean, clear images. Use with rubber stamp inking pads made of fabric, foam latex rubber or foam plastic. 24-month maximum shelf life (extendable).",3.34,"BT","H"
"7510-00-161-4240","Office Supplies & Paper Special Order","Stamp Pad Ink","Roll-on or tip applicator. Quick-drying ink makes clean, clear images. Use with rubber stamp inking pads made of fabric, foam latex rubber or foam plastic. 24-month maximum shelf life (extendable).",3.2,"BT","H"
"7510-00-161-4284","Office Supplies & Paper Special Order","Slide Fastener","Has a 1"" binding capacity. One-piece base features 2-3/4"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistan",4.14,"BX","H"
"7510-00-161-4292","Office Supplies & Paper Special Order","Paper Clip","Classic-style paper clip is an essential for any office. Securely holds papers and folders together to help organize workspace.",2.43,"MX","H"
"7510-00-161-6211","Office Supplies & Paper Special Order","Supply Cup","Circular container holds pins, paper clips, artist's sponges, etc.  Made of glass or plastic.",4.78,"BX","H"
"7510-00-161-6215","Office Supplies & Paper Special Order","Ruler","This standard ruler is great for measuring small items, as well as drawing clean, straight lines. Beveled surface features 1/16"" graduations and a metal-edge.",1.13,"EA","H"
"7510-00-164-8926","Office Supplies & Paper Special Order","Postal Pencil","Double-ended, two-color pencil is specially designed for use by the USPS.",3.9,"DZ","H"
"7510-00-165-6560","Office Supplies & Paper Special Order","Double-Sided Tape","Multi-purpose, double-coated, vinyl foam tape has a silicone-treated liner and and is weather and solvent resisant. Use in mounting trim, nameplates, utensil racks, dispensers, decorator items, small mirrors and memo boards to smooth surfaces. 12-month ma",24.36,"RO","H"
"7510-00-171-1123","Office Supplies & Paper Special Order","Reinforcement Ring","Avoid having loose-leaf sheets accidentally ripped from binders. Use these eyelets for reinforcing the punched holes. Also ideal for repairing ripped loose-leaf holes. Eyelets are made of self-adhesive poly-vinyl.",0.82,"BX","H"
"7510-00-173-4897","Office Supplies & Paper Special Order","Ruler","Steel layout ruler is used for the preparation of all types of forms. Marked in graduations of 1/32, 1/16, 1/12, 1/6 and 1/10"", the ruler is punched for indicating standard file hole placement.",4.95,"EA","H"
"7510-00-187-6486","Office Supplies & Paper Special Order","Round Ring Binder","Flexible cover design. Accommodates 5-1/2 x 8-1/2"" sheets. Loose-leaf binder features cloth cover.",5.5,"EA","H"
"7510-00-187-6488","Office Supplies & Paper Special Order","Round Ring Binder","Flexible cover design. Accommodates 6 x 9-1/2"" sheets. Loose-leaf binder features cloth cover.",13.21,"EA","J"
"7510-00-187-6496","Office Supplies & Paper Special Order","Round Ring Binder","Flexible cover design. Accommodates 6 x 9-1/2"" sheets. Loose-leaf binder features cloth cover.",19.08,"EA","J"
"7510-00-205-0371","Office Supplies & Paper Special Order","Rubber Bands","Size 84. Measures 1/2"" wide and 3-1/2"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
"7510-00-205-0806","Office Supplies & Paper Special Order","Slide Fastener","Has a 3"" binding capacity. One-piece base has 8-1/2"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistant fin",6.54,"BX","H"
"7510-00-205-0842","Office Supplies & Paper Special Order","Rubber Bands","Size 33. Measures 1/8"" wide and 3-1/2"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
"7510-00-205-1438","Office Supplies & Paper Special Order","Rubber Bands","Size 19. Measures 1/16"" wide and 3-1/2"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
"7510-00-205-1439","Office Supplies & Paper Special Order","Rubber Bands","Size 16. Measures 1/16"" wide and 2-1/2"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.43,"BG","H"
"7510-00-223-6706","Office Supplies & Paper Special Order","Chalk","Made of 85% calcium carbonate. Dustless, non-toxic chalk makes a neater presentation than standard chalk.",0.53,"GR","H"
"7510-00-223-6807","Office Supplies & Paper Special Order","Binder Clip","(NFES #0784). Medium clip has a capacity of 1/2"". Spring-type clip holds large bundles of papers. Wire handles snap down flat to secure pages. Made of tempered steel.",1.42,"DZ","H"
"7510-00-223-6810","Office Supplies & Paper Special Order","Binder Clip","Small clip has a capacity of 1/4"". Spring-type clip has die-stamped steel handles attached to body through slit in body. Includes an eyelet in the handle for hanging.",11.36,"BX","J"
"7510-00-223-6813","Office Supplies & Paper Special Order","Slide Fastener","Has a 3"" binding capacity. Three-piece base has 2-3/4"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistant f",8.33,"BX","H"
"7510-00-223-6814","Office Supplies & Paper Special Order","Slide Fastener Base","For fasteners with a 2"" binding capacity. Each compressor-type slide fastener base is intended for use in binding together papers and similar printed materials. Features 2-3/4"" spacing between prongs. Without compressor. Made of tempered steel with a corr",3.2,"HD","H"
"7510-00-223-6815","Office Supplies & Paper Special Order","Slide Fastener Base","For fasteners with a 1"" binding capacity. Each compressor-type slide fastener base is intended for use in binding together papers and similar printed materials. Features 2-3/4"" spacing between prongs. Without compressor. Made of tempered steel with a corr",2.98,"HD","H"
"7510-00-223-7046","Office Supplies & Paper Special Order","Eraser","Standard, rectangular eraser has beveled ends.",5.06,"DZ","H"
"7510-00-231-6531","Office Supplies & Paper Special Order","Stamp Pad","Pad is made of cotton fabric. Make a clear and legible impression with highly absorbent pad. Comes in a leak-proof, rust resistant, snap-shut case. Use with stamp pad ink.",2.32,"EA","H"
"7510-00-234-7960","Office Supplies & Paper Special Order","Transparent Tape","Features a 3"" core without dispenser. This tape features a glossy finish and is superb for temporary mending, attaching, and sealing. Also great for protecting labels. Made of cellophane or similar materials. 12-month maximum shelf life (extendable).",2.51,"RO","H"
"7510-00-235-6046","Office Supplies & Paper Special Order","Slide Fastener","Has a 6"" binding capacity. Three-piece base has 8-1/2"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistant f",12.04,"BX","H"
"7510-00-235-6049","Office Supplies & Paper Special Order","Slide Fastener","Has a 3"" binding capacity. Three-piece base has 8-1/2"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistant f",9.31,"BX","H"
"7510-00-235-6068","Office Supplies & Paper Special Order","Slide Fastener","Has a 2"" binding capacity. One-piece base features 2-3/4"" spacing between prongs. Slide fastener features compressor type closure and is intended for use in binding together papers and similar printed matter. Made of tempered steel with corrosion-resistan",3.97,"BX","H"
"7510-00-240-1526","Office Supplies & Paper Special Order","Wax Pencil","Spiral paper-wrapped wax marking pencil writes easily on china, glass, photographs, cellophane and other smooth surfaces.",5.93,"DZ","H"
"7510-00-240-6012","Office Supplies & Paper Special Order","Flight Checklist Binder","This size-4 binder features six snap rings and includes 55 plastic envelopes. This flexible loose-leaf binder comes with plastic envelopes for insertion of flight checklists. Blue plastic cover includes a title slot and 2"" diameter snap-ring fasteners.",14.12,"EA","H"
"7510-00-241-4958","Office Supplies & Paper Special Order","USAF Technical Manual Binder","Accommodates 5 x 8"" sheets. Important information can be kept conveniently nearby with this pocket-sized binder, which is specially designed for USAF technical manuals. The flexible plastic cover features a white, rectangular block, durable enough to with",4.14,"EA","H"
"7510-00-243-3434","Office Supplies & Paper Special Order","Rubber Bands","Size 32. Measures 1/8"" wide and 3"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
"7510-00-243-3435","Office Supplies & Paper Special Order","Rubber Bands","(NFES #0786). Size 64. Measures 1/4"" wide and 3-1/2"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
"7510-00-243-3437","Office Supplies & Paper Special Order","Rubber Bands","Size 18. Measures 1/16"" wide and 3"" long. Natural or synthetic rubber bands are long-lasting and dependable.",1.04,"BG","H"
